GeoName,Year,Total_population,Total_households,Female_population,Male_population,Median_age,Median_household_income_past_12m,Bachelor_degree,Master_degree,Professional_degree,Doctorate_degree,Num_employed,Num_unemployed,Labor_force,Avg_household_size,Median_value_owner_occupied_housing,Households_solar_energy_fuel,Num_under_18,Num_18_to_34,Num_35_to_64,Num_65_more,Num_industry_agriculture_fishing_hunting,consensus,consensusOppose,futuregen,futuregenOppose,happening,happeningOppose,harmUS,harmUSOppose,human,humanOppose,personal,personalOppose,regulate,regulateOppose,timing,timingOppose,worried,worriedOppose,Average_Temperature_per_Year,Average_Precipitation_per_Year,Average_PDSI_per_Year,Region,Price_per_unit_thousands_USD,Volume_California_Million_Pieces,Revenue_California_Billion_USD
"San Benito County, California",2014,56888,17121,28460,28428,34.8,67874,4849.0,1262.0,481.0,169.0,25260,4124,29384,3.3,357200,66,15788,12771,22377,5952,1843,42.0,30.0,66.0,20.0,66.0,14.0,55.0,32.0,50.0,32.0,40.0,47.0,75.0,23.0,44.0,55.0,58.0,41.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Sierra County, California",2014,3019,1291,1538,1481,53.5,43107,371.0,74.0,12.0,0.0,1203,91,1294,2.31,195700,0,501,304,1517,697,78,48.0,30.0,67.0,22.0,68.0,14.0,54.0,37.0,51.0,32.0,36.0,54.0,78.0,21.0,44.0,55.0,58.0,41.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Sacramento County, California",2014,1450277,519460,740598,709679,35.3,55615,176972.0,59253.0,20863.0,10029.0,619316,93301,712617,2.74,236500,409,361130,358444,557027,173676,4651,52.0,28.0,70.0,19.0,71.0,13.0,59.0,33.0,50.0,30.0,41.0,48.0,78.0,19.0,48.0,52.0,61.0,38.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"El Dorado County, California",2014,181465,67220,90721,90744,44.4,68507,27179.0,9224.0,2953.0,1649.0,79965,10215,90180,2.67,356900,261,39455,31521,80923,29566,838,43.0,35.0,65.0,27.0,64.0,16.0,52.0,41.0,47.0,36.0,34.0,57.0,76.0,24.0,41.0,59.0,54.0,46.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Monterey County, California",2014,424927,125115,206867,218060,33.3,58582,37596.0,15924.0,4471.0,3441.0,175455,18709,194164,3.24,362100,206,112718,109955,154359,47895,29122,47.0,26.0,69.0,18.0,69.0,11.0,60.0,29.0,54.0,29.0,44.0,44.0,77.0,21.0,49.0,49.0,64.0,36.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"San Diego County, California",2014,3183143,1083811,1584877,1598266,34.9,63996,455144.0,181805.0,53877.0,42120.0,1421325,150837,1572162,2.85,412800,2352,726898,867145,1206921,382179,12785,48.0,30.0,69.0,21.0,68.0,13.0,58.0,34.0,49.0,31.0,40.0,51.0,80.0,19.0,45.0,54.0,61.0,39.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Tulare County, California",2014,451108,132706,225227,225881,30.1,42863,23091.0,7420.0,2887.0,868.0,170819,26687,197506,3.36,161000,81,144268,111904,150203,44733,32857,46.0,27.0,68.0,20.0,67.0,13.0,58.0,29.0,55.0,29.0,42.0,44.0,77.0,21.0,47.0,52.0,62.0,37.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Yolo County, California",2014,204162,70953,104634,99528,31.0,55508,23414.0,11716.0,4518.0,6049.0,91643,9738,101381,2.76,317700,281,45257,67625,69558,21722,3698,51.0,27.0,71.0,19.0,72.0,12.0,60.0,32.0,55.0,29.0,42.0,48.0,79.0,20.0,49.0,50.0,65.0,35.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Humboldt County, California",2014,134876,53130,67343,67533,37.4,42153,16786.0,5169.0,1629.0,1411.0,58838,7512,66350,2.46,281300,101,26524,36726,52550,19076,2452,50.0,30.0,69.0,21.0,70.0,14.0,56.0,36.0,53.0,31.0,37.0,54.0,79.0,20.0,45.0,54.0,59.0,41.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Nevada County, California",2014,98606,40838,49794,48812,48.8,56949,15724.0,5484.0,2063.0,877.0,41788,4993,46781,2.39,344800,95,18115,16349,43041,21101,585,48.0,33.0,69.0,22.0,68.0,16.0,54.0,38.0,53.0,31.0,35.0,56.0,79.0,20.0,44.0,56.0,58.0,42.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Alpine County, California",2014,1202,377,537,665,43.6,61343,153.0,47.0,11.0,46.0,505,32,537,3.11,313800,0,235,245,497,225,4,46.0,31.0,66.0,25.0,67.0,15.0,51.0,41.0,46.0,35.0,34.0,57.0,73.0,27.0,42.0,57.0,55.0,45.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Madera County, California",2014,152452,42723,79002,73450,33.3,45490,8858.0,2452.0,895.0,457.0,52544,5530,58074,3.37,179100,50,42835,36662,54530,18425,10895,41.0,29.0,65.0,21.0,65.0,14.0,55.0,32.0,47.0,34.0,39.0,46.0,75.0,24.0,44.0,55.0,59.0,41.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Los Angeles County, California",2014,9974203,3242391,5060515,4913688,35.3,55870,1281851.0,442258.0,153552.0,83602.0,4548646,564669,5113315,3.02,425100,2640,2347600,2590990,3885720,1149893,20712,48.0,26.0,70.0,15.0,69.0,13.0,61.0,27.0,58.0,25.0,45.0,42.0,78.0,20.0,48.0,50.0,65.0,34.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Mendocino County, California",2014,87612,33693,43633,43979,42.0,43290,8930.0,3227.0,1152.0,463.0,36957,5193,42150,2.53,310300,86,19216,17310,35968,15118,2131,49.0,29.0,70.0,20.0,70.0,13.0,56.0,34.0,54.0,30.0,38.0,51.0,79.0,20.0,47.0,53.0,60.0,39.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Santa Cruz County, California",2014,267203,94219,134386,132817,36.9,66923,39582.0,16915.0,4353.0,3716.0,129416,12376,141792,2.72,559500,244,54991,72722,106878,32612,7089,55.0,27.0,72.0,18.0,75.0,12.0,60.0,32.0,61.0,25.0,41.0,49.0,81.0,18.0,50.0,50.0,65.0,35.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Trinity County, California",2014,13515,5521,6630,6885,50.0,36862,1748.0,430.0,63.0,45.0,4668,698,5366,2.39,258500,7,2384,2077,6069,2985,123,53.0,28.0,69.0,20.0,71.0,13.0,57.0,35.0,54.0,30.0,38.0,52.0,79.0,20.0,48.0,52.0,62.0,38.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Riverside County, California",2014,2266899,690388,1138975,1127924,34.2,56592,188561.0,73494.0,19204.0,11808.0,895237,149759,1044996,3.24,236400,726,616767,538903,828541,282688,14234,47.0,27.0,70.0,18.0,69.0,12.0,61.0,30.0,54.0,29.0,43.0,45.0,79.0,19.0,48.0,51.0,64.0,35.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"San Bernardino County, California",2014,2078586,607604,1044825,1033761,32.2,54100,151858.0,60071.0,14483.0,9367.0,812707,131293,944000,3.34,225400,513,584394,532408,762022,199762,5598,44.0,28.0,67.0,19.0,68.0,13.0,57.0,30.0,51.0,33.0,41.0,45.0,79.0,19.0,47.0,52.0,60.0,39.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Santa Clara County, California",2014,1841569,614714,916721,924848,36.6,93854,324301.0,189646.0,33585.0,41452.0,888761,85977,974738,2.94,664100,1055,434411,440181,752262,214715,5122,50.0,29.0,72.0,16.0,73.0,11.0,58.0,31.0,58.0,25.0,40.0,49.0,78.0,20.0,48.0,52.0,61.0,39.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Marin County, California",2014,256802,103034,130964,125838,45.1,91529,58107.0,27681.0,11635.0,5917.0,126429,9756,136185,2.41,785100,351,52816,39795,117553,46638,744,56.0,28.0,72.0,19.0,74.0,13.0,58.0,34.0,58.0,26.0,39.0,53.0,80.0,19.0,49.0,51.0,64.0,36.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Placer County, California",2014,361518,134111,185028,176490,40.7,73747,59598.0,19691.0,6064.0,3073.0,159811,16469,176280,2.67,345900,434,85402,68591,147520,60005,724,46.0,34.0,68.0,23.0,67.0,16.0,53.0,40.0,48.0,37.0,35.0,56.0,76.0,23.0,41.0,58.0,55.0,45.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Siskiyou County, California",2014,44261,19380,22240,22021,47.3,37495,5173.0,1860.0,410.0,220.0,16225,2725,18950,2.25,185400,55,9062,7554,18282,9363,1336,45.0,32.0,67.0,23.0,67.0,15.0,52.0,39.0,49.0,34.0,34.0,55.0,76.0,23.0,42.0,57.0,56.0,44.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Shasta County, California",2014,178520,68961,90828,87692,41.9,44556,15358.0,5446.0,1844.0,1004.0,67871,9445,77316,2.54,213700,32,39105,36743,70286,32386,1481,41.0,35.0,66.0,23.0,63.0,17.0,52.0,39.0,49.0,34.0,33.0,56.0,78.0,22.0,42.0,58.0,54.0,46.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Solano County, California",2014,421624,142521,211723,209901,37.2,67341,47620.0,13014.0,4821.0,2536.0,183876,25256,209132,2.87,263600,402,99575,99791,169947,52311,2350,46.0,29.0,68.0,21.0,67.0,13.0,57.0,33.0,52.0,31.0,40.0,48.0,77.0,22.0,46.0,53.0,58.0,42.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Del Norte County, California",2014,28066,9527,12503,15563,39.2,39302,2022.0,642.0,174.0,265.0,8668,1246,9914,2.57,180100,0,5984,6504,11426,4152,328,39.0,33.0,63.0,25.0,62.0,17.0,50.0,39.0,45.0,37.0,33.0,54.0,74.0,26.0,40.0,59.0,52.0,48.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Glenn County, California",2014,28019,9561,13815,14204,36.7,40106,1916.0,558.0,246.0,77.0,10534,1641,12175,2.89,214600,21,7655,5932,10533,3899,1912,42.0,31.0,65.0,23.0,64.0,15.0,53.0,35.0,48.0,34.0,36.0,50.0,75.0,24.0,43.0,56.0,56.0,44.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Butte County, California",2014,221578,85215,111833,109745,36.9,43165,23653.0,7585.0,2738.0,1532.0,88274,13323,101597,2.54,220100,155,45530,60727,79611,35710,2728,45.0,32.0,66.0,24.0,68.0,15.0,54.0,37.0,47.0,35.0,35.0,54.0,77.0,22.0,44.0,56.0,57.0,43.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Plumas County, California",2014,19286,8529,9532,9754,50.6,48032,1956.0,906.0,290.0,173.0,7259,1455,8714,2.21,231400,0,3342,3116,8361,4467,650,43.0,30.0,66.0,24.0,63.0,16.0,53.0,37.0,47.0,34.0,37.0,50.0,74.0,26.0,43.0,54.0,57.0,42.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"San Luis Obispo County, California",2014,274184,102350,134238,139946,39.5,59454,36175.0,14387.0,4299.0,3299.0,122252,10667,132919,2.52,426200,265,50725,74343,104370,44746,3556,47.0,31.0,68.0,22.0,69.0,15.0,54.0,37.0,54.0,30.0,36.0,54.0,76.0,23.0,44.0,56.0,58.0,42.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Kern County, California",2014,857730,257737,417018,440712,31.0,48574,51067.0,17956.0,5099.0,2765.0,321221,49041,370262,3.2,161800,443,255295,222443,299195,80797,37589,42.0,28.0,62.0,24.0,66.0,14.0,56.0,32.0,51.0,34.0,40.0,46.0,75.0,22.0,44.0,54.0,59.0,41.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Ventura County, California",2014,835790,267829,421512,414278,36.9,77335,108296.0,43588.0,12323.0,7646.0,394105,40806,434911,3.07,444800,412,208063,191246,330882,105599,19559,46.0,31.0,67.0,22.0,69.0,14.0,56.0,34.0,49.0,33.0,39.0,50.0,78.0,21.0,44.0,54.0,59.0,40.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Calaveras County, California",2014,44921,18608,22664,22257,50.3,54936,5034.0,1517.0,353.0,176.0,17212,2191,19403,2.38,242600,42,8398,6448,19612,10463,362,39.0,36.0,63.0,27.0,62.0,18.0,48.0,42.0,44.0,37.0,31.0,58.0,74.0,26.0,38.0,61.0,50.0,50.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"San Mateo County, California",2014,739837,258683,375946,363891,39.4,91421,140683.0,59754.0,19275.0,15044.0,379767,30371,410138,2.82,736800,265,161600,159506,314825,103906,2424,54.0,27.0,73.0,16.0,75.0,11.0,61.0,30.0,61.0,25.0,43.0,48.0,82.0,16.0,52.0,48.0,67.0,33.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Tuolumne County, California",2014,54347,22181,25924,28423,48.2,48493,5528.0,1709.0,576.0,305.0,19455,3481,22936,2.28,262600,65,9153,10445,22826,11923,507,42.0,34.0,65.0,24.0,63.0,17.0,52.0,39.0,49.0,35.0,34.0,55.0,77.0,23.0,41.0,58.0,54.0,46.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Amador County, California",2014,37159,13939,17193,19966,49.6,52964,4095.0,1067.0,534.0,181.0,12402,2342,14744,2.36,251800,23,5979,5741,16976,8463,183,40.0,35.0,64.0,26.0,63.0,18.0,50.0,40.0,45.0,38.0,32.0,56.0,75.0,24.0,39.0,60.0,52.0,48.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Merced County, California",2015,263885,77692,130733,133152,30.4,42462,13248.0,4382.0,1382.0,922.0,96170,18650,114820,3.32,161200,128,79992,68321,88623,26949,12960,41.39,28.5,67.4,19.46,67.47,12.7,57.46,29.52,49.83,31.39,42.24,43.71,74.63,23.91,47.85,51.2,59.81,39.41,60.75833333333333,1.2533333333333334,-4.7975,California,0.517,1.568823590972455,0.6800580588669835
"Mariposa County, California",2015,17789,7345,8858,8931,50.6,47681,1889.0,717.0,251.0,167.0,7329,963,8292,2.29,235900,15,2983,2930,7573,4303,238,48.76,29.76,67.7,22.95,68.37,14.35,55.01,36.91,49.31,33.8,36.85,53.41,74.21,24.81,45.66,53.48,57.3,42.58,60.75833333333333,1.2533333333333334,-4.7975,California,0.517,1.568823590972455,0.6800580588669835
"Yuba County, California",2015,73437,25139,36137,37300,32.1,46892,4455.0,1489.0,401.0,128.0,25499,4424,29923,2.87,172100,47,20652,18790,25838,8157,1319,44.81,30.37,67.33,21.27,66.36,14.46,54.63,35.03,47.73,34.25,37.59,50.25,74.99,23.92,45.49,53.72,56.29,43.59,60.75833333333333,1.2533333333333334,-4.7975,California,0.517,1.568823590972455,0.6800580588669835
"Contra Costa County, California",2015,1096068,384646,561450,534618,38.8,80185,187160.0,70929.0,21753.0,14077.0,509920,48995,558915,2.82,439900,1130,260467,230269,454501,150831,2642,56.66,24.49,70.88,18.6,74.03,10.59,62.06,29.34,53.52,31.12,43.88,46.58,77.78,20.42,53.62,45.62,63.91,36.05,60.75833333333333,1.2533333333333334,-4.7975,California,0.517,1.568823590972455,0.6800580588669835
"Lassen County, California",2015,32645,9707,10827,21818,37.0,51555,1925.0,615.0,309.0,80.0,9082,1109,10191,2.24,172900,53,4916,10494,13499,3736,521,43.36,31.27,65.15,23.35,65.0,15.46,52.61,37.06,48.78,34.38,35.95,51.93,73.93,25.68,43.44,55.78,53.88,45.97,60.75833333333333,1.2533333333333334,-4.7975,California,0.517,1.568823590972455,0.6800580588669835
