Date, Palmer Drought Severity Index (PDSI),State, Precipitation_x, Average Temperature_x, Average Temperature_y, Precipitation_y
2006-10,-2.18,Alabama,5.13,61.9,,
2006-11,-1.60,Alabama,4.84,52.8,,
2006-12,-1.73,Alabama,4.06,49.4,,
2007-01,-1.80,Alabama,4.34,46.7,,
2007-02,-2.31,Alabama,2.64,44.8,,
2007-03,-3.52,Alabama,1.56,60.0,,
2007-04,-3.40,Alabama,3.91,60.0,,
2007-05,-4.23,Alabama,0.73,71.2,,
2007-06,-4.57,Alabama,2.78,78.8,,
2007-07,-4.40,Alabama,5.20,79.2,,
2007-08,-5.05,Alabama,2.67,84.4,,
2007-09,-5.02,Alabama,3.11,76.0,,
2007-10,-4.40,Alabama,3.92,66.5,,
2007-11,-4.36,Alabama,2.75,53.6,,
2007-12,-4.37,Alabama,4.25,51.6,,
2008-01,-4.19,Alabama,4.09,43.0,,
2008-02,-3.61,Alabama,5.79,49.2,,
2008-03,-3.86,Alabama,4.01,55.2,,
2008-04,-3.58,Alabama,4.53,62.8,,
2008-05,-3.10,Alabama,4.43,70.3,,
2008-06,-3.29,Alabama,2.69,78.7,,
2008-07,-3.54,Alabama,4.04,80.0,,
2008-08,1.52,Alabama,8.89,78.4,,
2008-09,0.82,Alabama,1.65,74.5,,
2008-10,0.91,Alabama,3.02,62.2,,
2008-11,0.69,Alabama,3.15,51.0,,
2008-12,1.07,Alabama,6.78,49.7,,
2009-01,0.76,Alabama,4.42,45.3,,
2009-02,0.28,Alabama,3.85,48.2,,
2009-03,0.89,Alabama,8.98,57.3,,
2009-04,0.72,Alabama,4.45,61.4,,
2009-05,2.07,Alabama,8.51,71.2,,
2009-06,1.31,Alabama,2.71,79.4,,
2009-07,1.23,Alabama,5.59,78.1,,
2009-08,1.56,Alabama,5.49,78.0,,
2009-09,2.58,Alabama,7.57,75.0,,
2009-10,4.00,Alabama,7.18,62.8,,
2009-11,3.90,Alabama,4.39,53.4,,
2009-12,5.14,Alabama,10.63,44.8,,
2010-01,5.04,Alabama,6.21,40.0,,
2010-02,-0.16,Alabama,4.22,40.6,,
2010-03,-0.37,Alabama,5.07,51.2,,
2010-04,-0.96,Alabama,2.82,64.2,,
2010-05,-0.35,Alabama,6.15,73.3,,
2010-06,-0.78,Alabama,3.26,80.9,,
2010-07,-1.61,Alabama,3.50,82.6,,
2010-08,-1.71,Alabama,4.83,83.0,,
2010-09,-2.51,Alabama,1.61,76.9,,
2010-10,-2.47,Alabama,2.59,64.3,,
2010-11,-2.10,Alabama,4.73,55.2,,
2010-12,-2.67,Alabama,2.20,40.3,,
2011-01,-2.65,Alabama,4.03,41.1,,
2011-02,-2.91,Alabama,3.49,49.5,,
2011-03,-2.20,Alabama,8.18,57.8,,
2011-04,-2.06,Alabama,5.08,65.7,,
2011-05,-2.64,Alabama,1.64,69.9,,
2011-06,-2.99,Alabama,3.55,81.2,,
2011-07,-3.02,Alabama,5.52,81.7,,
2011-08,-3.87,Alabama,2.05,81.8,,
2011-09,-2.44,Alabama,7.21,72.1,,
2011-10,-2.60,Alabama,0.79,60.6,,
2011-11,-2.32,Alabama,4.13,55.3,,
2011-12,-2.13,Alabama,5.04,49.3,,
2012-01,-1.90,Alabama,5.44,50.1,,
2012-02,-2.01,Alabama,4.49,52.1,,
2012-03,-2.41,Alabama,5.35,64.6,,
2012-04,-3.08,Alabama,1.89,65.0,,
2012-05,-3.05,Alabama,4.16,73.4,,
2012-06,-2.80,Alabama,4.00,76.8,,
2012-07,-2.64,Alabama,5.75,81.6,,
2012-08,0.64,Alabama,6.07,78.1,,
2012-09,1.16,Alabama,5.35,73.0,,
2012-10,1.29,Alabama,2.91,62.2,,
2012-11,0.52,Alabama,1.36,51.2,,
2012-12,0.82,Alabama,6.61,50.9,,
2013-01,1.00,Alabama,6.27,50.0,,
2013-02,1.99,Alabama,8.86,48.0,,
2013-03,1.26,Alabama,3.83,49.8,,
2013-04,1.36,Alabama,5.71,62.2,,
2013-05,1.30,Alabama,4.00,68.2,,
2013-06,1.73,Alabama,5.81,78.0,,
2013-07,2.87,Alabama,8.70,77.7,,
2013-08,3.30,Alabama,5.50,77.9,,
2013-09,2.97,Alabama,3.20,75.0,,
2013-10,2.40,Alabama,1.47,64.9,,
2013-11,2.11,Alabama,3.42,51.6,,
2013-12,2.72,Alabama,7.93,47.9,,
2014-01,1.82,Alabama,2.70,37.3,,
2014-02,1.82,Alabama,5.75,47.3,,
2014-03,1.51,Alabama,5.57,52.3,,
2014-04,2.64,Alabama,9.67,62.4,,
2014-05,2.44,Alabama,4.27,70.2,,
2014-06,2.56,Alabama,5.23,77.9,,
2014-07,-0.40,Alabama,3.36,77.8,,
2014-08,-0.72,Alabama,3.25,79.5,,
2014-09,-1.23,Alabama,2.51,76.3,,
2014-10,-0.73,Alabama,4.38,65.2,,
2014-11,-0.80,Alabama,2.98,48.2,,
2014-12,-0.42,Alabama,6.36,50.0,,
2015-01,-0.57,Alabama,4.34,43.6,,
2015-02,-0.74,Alabama,4.05,41.3,,
2015-03,-1.30,Alabama,4.28,57.8,,
2015-04,-0.70,Alabama,7.14,66.0,,
2015-05,-0.64,Alabama,4.32,71.8,,
2015-06,-0.91,Alabama,3.27,78.8,,
2015-07,-1.26,Alabama,4.71,81.6,,
2015-08,-0.99,Alabama,4.94,79.0,,
2015-09,-1.30,Alabama,2.71,74.4,,
2015-10,-1.24,Alabama,2.93,65.0,,
2015-11,0.68,Alabama,6.80,59.2,,
2015-12,2.33,Alabama,11.87,56.9,,
2016-01,-0.27,Alabama,4.06,43.0,,
2016-02,-0.09,Alabama,5.85,49.8,,
2016-03,-0.48,Alabama,5.42,59.7,,
2016-04,-0.27,Alabama,5.68,63.6,,
2016-05,-0.88,Alabama,2.14,70.2,,
2016-06,-1.10,Alabama,3.81,79.2,,
2016-07,-1.67,Alabama,4.27,82.0,,
2016-08,-1.76,Alabama,4.58,81.6,,
2016-09,-2.60,Alabama,1.72,78.6,,
2016-10,-3.51,Alabama,0.13,68.5,,
2016-11,-3.88,Alabama,2.30,57.8,,
2016-12,-3.79,Alabama,5.05,50.1,,
2017-01,-2.36,Alabama,9.17,52.4,,
2017-02,-2.75,Alabama,3.70,55.6,,
2017-03,-3.15,Alabama,4.17,58.4,,
2017-04,-3.24,Alabama,4.09,67.2,,
2017-05,0.99,Alabama,7.01,69.9,,
2017-06,3.21,Alabama,10.70,75.8,,
2017-07,2.86,Alabama,5.06,80.6,,
2017-08,3.36,Alabama,6.07,78.8,,
2017-09,3.04,Alabama,3.25,73.4,,
2017-10,3.83,Alabama,6.03,65.8,,
2017-11,2.63,Alabama,1.05,55.6,,
2017-12,2.06,Alabama,3.89,46.9,,
2018-01,1.09,Alabama,2.32,40.4,,
2018-02,1.33,Alabama,7.27,58.0,,
2018-03,0.60,Alabama,4.14,55.4,,
2018-04,0.93,Alabama,5.94,59.5,,
2018-05,1.07,Alabama,5.52,74.4,,
2018-06,1.04,Alabama,4.58,79.3,,
2018-07,0.58,Alabama,4.46,80.7,,
2018-08,0.74,Alabama,5.03,79.5,,
2018-09,1.17,Alabama,6.21,79.4,,
2018-10,0.97,Alabama,2.69,67.4,,
2018-11,1.71,Alabama,6.29,50.4,,
2018-12,2.92,Alabama,9.95,49.0,,
2019-01,2.87,Alabama,6.01,46.5,,
2019-02,2.68,Alabama,6.21,56.1,,
2019-03,-0.78,Alabama,3.40,55.0,,
2019-04,-0.38,Alabama,6.24,63.5,,
2019-05,-0.74,Alabama,3.59,74.2,,
2019-06,-0.62,Alabama,4.47,78.1,,
2019-07,-1.14,Alabama,4.02,80.6,,
2019-08,-1.02,Alabama,4.99,80.6,,
2019-09,-2.41,Alabama,0.41,80.2,,
2019-10,1.06,Alabama,7.12,67.8,,
2019-11,0.90,Alabama,3.24,50.6,,
2019-12,1.19,Alabama,6.60,51.3,,
2020-01,1.70,Alabama,7.44,49.5,,
2020-02,2.99,Alabama,10.37,51.0,,
2020-03,2.34,Alabama,6.18,63.5,,
2020-04,2.71,Alabama,7.10,62.0,,
2020-05,2.36,Alabama,3.64,68.9,,
2020-06,2.51,Alabama,5.16,76.9,,
2020-07,2.23,Alabama,5.30,80.9,,
2020-08,2.52,Alabama,5.78,80.2,,
2020-09,3.05,Alabama,6.00,74.3,,
2020-10,3.60,Alabama,5.11,66.9,,
2020-11,2.87,Alabama,2.75,58.4,,
2020-12,2.29,Alabama,3.84,45.9,,
2021-01,1.62,Alabama,3.72,46.6,,
2021-02,1.19,Alabama,4.22,46.7,,
2021-03,1.38,Alabama,8.05,59.6,,
2021-04,1.45,Alabama,5.55,61.6,,
2021-05,1.55,Alabama,4.69,69.4,,
2021-06,2.98,Alabama,8.73,77.0,,
2021-07,3.52,Alabama,7.49,79.3,,
2021-08,4.43,Alabama,7.43,80.0,,
2021-09,4.56,Alabama,4.83,73.9,,
2021-10,4.84,Alabama,4.60,67.3,,
2021-11,3.69,Alabama,1.19,52.2,,
2021-12,3.00,Alabama,4.66,56.8,,
2022-01,2.64,Alabama,4.83,43.9,,
2022-02,2.46,Alabama,5.66,50.1,,
2022-03,2.35,Alabama,7.15,57.4,,
2022-04,2.29,Alabama,5.56,62.5,,
2022-05,2.17,Alabama,5.00,73.5,,
2022-06,1.53,Alabama,3.30,80.2,,
2022-07,1.22,Alabama,5.71,81.6,,
2022-08,1.79,Alabama,6.42,79.2,,
2022-09,1.15,Alabama,2.22,73.8,,
2022-10,1.07,Alabama,2.71,61.2,,
2022-11,1.19,Alabama,4.83,55.3,,
2022-12,0.90,Alabama,4.48,49.1,,
2023-01,1.22,Alabama,6.88,51.5,,
2023-02,0.65,Alabama,4.38,56.4,,
2023-03,-0.77,Alabama,5.40,58.6,,
1993-02,7.61,Arizona,3.17,44.5,,
1993-03,7.00,Arizona,1.15,51.8,,
1993-04,6.42,Arizona,0.05,58.6,,
1993-05,6.98,Arizona,0.41,67.3,,
1993-06,7.01,Arizona,0.14,74.2,,
1993-07,-0.96,Arizona,0.35,78.3,,
1993-08,-0.25,Arizona,2.88,77.5,,
1993-09,-0.92,Arizona,0.35,71.8,,
1993-10,0.27,Arizona,1.24,61.0,,
1993-11,0.84,Arizona,1.52,47.2,,
1993-12,-0.52,Arizona,0.29,41.9,,
1994-01,-1.16,Arizona,0.23,43.2,,
1994-02,-0.98,Arizona,1.24,43.3,,
1994-03,-0.96,Arizona,1.24,52.9,,
1994-04,-0.91,Arizona,0.61,58.2,,
1994-05,-1.13,Arizona,0.59,65.2,,
1994-06,-1.73,Arizona,0.23,79.2,,
1994-07,-2.45,Arizona,0.94,81.3,,
1994-08,-2.77,Arizona,1.62,81.3,,
1994-09,0.09,Arizona,1.40,73.7,,
1994-10,0.14,Arizona,0.92,59.6,,
1994-11,0.64,Arizona,1.33,45.5,,
1994-12,1.16,Arizona,2.10,43.2,,
1995-01,2.03,Arizona,2.43,42.1,,
1995-02,2.05,Arizona,1.47,50.9,,
1995-03,2.18,Arizona,1.52,51.3,,
1995-04,2.43,Arizona,0.63,54.9,,
1995-05,3.01,Arizona,0.43,61.7,,
1995-06,3.59,Arizona,0.13,72.1,,
1995-07,-0.63,Arizona,0.60,80.3,,
1995-08,-0.81,Arizona,1.98,81.4,,
1995-09,-0.75,Arizona,1.30,74.6,,
1995-10,-1.45,Arizona,0.08,63.1,,
1995-11,-1.78,Arizona,0.58,55.0,,
1995-12,-2.30,Arizona,0.29,44.7,,
1996-01,-2.92,Arizona,0.20,44.2,,
1996-02,-3.13,Arizona,1.08,50.1,,
1996-03,-3.63,Arizona,0.37,51.9,,
1996-04,-4.36,Arizona,0.06,59.9,,
1996-05,-4.96,Arizona,0.09,69.6,,
1996-06,-5.28,Arizona,0.26,78.0,,
1996-07,-5.03,Arizona,1.70,82.3,,
1996-08,-5.19,Arizona,1.39,80.2,,
1996-09,-4.04,Arizona,1.86,70.3,,
1996-10,-3.75,Arizona,0.75,60.8,,
1996-11,-3.49,Arizona,0.79,51.0,,
1996-12,-3.87,Arizona,0.19,44.2,,
1997-01,-3.09,Arizona,1.89,42.0,,
1997-02,-2.91,Arizona,0.91,44.7,,
1997-03,-3.52,Arizona,0.11,55.0,,
1997-04,-3.35,Arizona,0.76,56.2,,
1997-05,-3.55,Arizona,0.37,70.5,,
1997-06,-3.68,Arizona,0.25,73.8,,
1997-07,-4.22,Arizona,0.82,79.4,,
1997-08,0.01,Arizona,2.26,79.1,,
1997-09,0.70,Arizona,2.18,75.0,,
1997-10,0.48,Arizona,0.70,60.2,,
1997-11,0.15,Arizona,0.59,51.0,,
1997-12,0.61,Arizona,1.87,39.4,,
1998-01,0.12,Arizona,0.55,43.8,,
1998-02,1.54,Arizona,3.06,42.0,,
1998-03,2.05,Arizona,1.90,49.0,,
1998-04,2.35,Arizona,0.63,52.7,,
1998-05,2.93,Arizona,0.26,63.0,,
1998-06,3.43,Arizona,0.07,71.8,,
1998-07,3.94,Arizona,2.35,81.2,,
1998-08,-0.40,Arizona,1.60,80.4,,
1998-09,0.16,Arizona,1.44,73.6,,
1998-10,0.45,Arizona,1.26,60.5,,
1998-11,0.41,Arizona,0.93,50.6,,
1998-12,-0.56,Arizona,0.39,42.7,,
1999-01,-1.46,Arizona,0.14,45.4,,
1999-02,-2.16,Arizona,0.36,48.0,,
1999-03,-2.98,Arizona,0.19,53.0,,
1999-04,-2.37,Arizona,1.37,53.2,,
1999-05,-2.89,Arizona,0.17,65.3,,
1999-06,-3.19,Arizona,0.36,74.5,,
1999-07,1.36,Arizona,3.39,78.3,,
1999-08,1.53,Arizona,2.55,77.8,,
1999-09,1.84,Arizona,1.80,72.6,,
1999-10,-0.90,Arizona,0.00,64.2,,
1999-11,-1.73,Arizona,0.00,55.1,,
1999-12,-2.32,Arizona,0.04,42.0,,
2000-01,-2.97,Arizona,0.28,45.8,,
2000-02,-3.40,Arizona,0.59,48.4,,
2000-03,-2.97,Arizona,1.73,50.5,,
2000-04,-3.54,Arizona,0.11,61.9,,
2000-05,-4.35,Arizona,0.02,71.2,,
2000-06,-4.31,Arizona,0.73,77.8,,
2000-07,-5.15,Arizona,0.53,81.5,,
2000-08,-4.49,Arizona,2.45,79.4,,
2000-09,-5.01,Arizona,0.19,74.9,,
2000-10,2.19,Arizona,3.54,60.2,,
2000-11,2.23,Arizona,0.84,43.8,,
2000-12,1.36,Arizona,0.12,44.7,,
2001-01,1.67,Arizona,1.70,40.3,,
2001-02,1.55,Arizona,1.00,44.2,,
2001-03,1.33,Arizona,1.04,51.8,,
2001-04,1.61,Arizona,0.97,57.5,,
2001-05,1.56,Arizona,0.37,70.8,,
2001-06,-0.21,Arizona,0.24,77.5,,
2001-07,-0.50,Arizona,1.50,79.8,,
2001-08,-0.61,Arizona,2.04,79.1,,
2001-09,-1.39,Arizona,0.39,75.6,,
2001-10,-1.81,Arizona,0.43,64.7,,
2001-11,-2.22,Arizona,0.29,52.9,,
2001-12,-2.21,Arizona,0.82,40.2,,
2002-01,-2.69,Arizona,0.19,42.3,,
2002-02,-3.27,Arizona,0.10,46.2,,
2002-03,-3.76,Arizona,0.22,49.8,,
2002-04,-4.54,Arizona,0.18,62.0,,
2002-05,-5.05,Arizona,0.01,67.0,,
2002-06,-5.61,Arizona,0.01,78.8,,
2002-07,-5.67,Arizona,1.31,82.3,,
2002-08,-6.20,Arizona,0.87,79.8,,
2002-09,-5.07,Arizona,1.88,73.6,,
2002-10,-4.68,Arizona,0.70,60.0,,
2002-11,-4.45,Arizona,0.64,51.3,,
2002-12,-4.21,Arizona,0.86,41.0,,
2003-01,-4.69,Arizona,0.32,48.8,,
2003-02,-3.51,Arizona,2.44,45.5,,
2003-03,-3.18,Arizona,1.07,50.6,,
2003-04,-2.90,Arizona,0.29,55.6,,
2003-05,-3.22,Arizona,0.10,68.3,,
2003-06,-3.58,Arizona,0.05,76.3,,
2003-07,-3.93,Arizona,1.25,83.8,,
2003-08,-3.88,Arizona,1.80,80.0,,
2003-09,-3.70,Arizona,1.09,74.8,,
2003-10,-4.02,Arizona,0.41,67.3,,
2003-11,-3.36,Arizona,1.15,48.8,,
2003-12,-3.45,Arizona,0.54,43.0,,
2004-01,-3.48,Arizona,0.71,42.8,,
2004-02,-3.12,Arizona,1.07,42.1,,
2004-03,-3.55,Arizona,0.75,58.1,,
2004-04,-3.13,Arizona,1.32,57.9,,
2004-05,-3.67,Arizona,0.01,68.4,,
2004-06,-4.07,Arizona,0.09,75.9,,
2004-07,-4.31,Arizona,1.14,80.1,,
2004-08,-4.37,Arizona,1.48,77.7,,
2004-09,0.32,Arizona,1.58,71.8,,
2004-10,1.18,Arizona,1.95,60.0,,
2004-11,1.84,Arizona,1.76,47.3,,
2004-12,1.99,Arizona,1.66,42.8,,
2005-01,2.93,Arizona,2.83,45.1,,
2005-02,4.34,Arizona,3.35,46.2,,
2005-03,3.95,Arizona,0.86,49.9,,
2005-04,4.17,Arizona,0.70,57.2,,
2005-05,5.10,Arizona,0.22,67.9,,
2005-06,5.44,Arizona,0.21,74.4,,
2005-07,-0.49,Arizona,1.05,82.7,,
2005-08,-0.17,Arizona,2.43,77.5,,
2005-09,-0.87,Arizona,0.42,73.4,,
2005-10,-0.85,Arizona,0.92,62.8,,
2005-11,-1.52,Arizona,0.06,52.6,,
2005-12,-2.19,Arizona,0.04,43.9,,
2006-01,-2.87,Arizona,0.13,44.1,,
2006-02,-3.64,Arizona,0.04,47.8,,
2006-03,-3.25,Arizona,1.41,48.3,,
2006-04,-3.55,Arizona,0.24,59.0,,
2006-05,-4.28,Arizona,0.05,70.0,,
2006-06,-4.65,Arizona,0.34,79.5,,
2006-07,-3.77,Arizona,2.49,82.3,,
2006-08,-3.49,Arizona,2.02,77.9,,
2006-09,-2.86,Arizona,1.42,69.8,,
2006-10,-2.32,Arizona,1.18,60.2,,
2006-11,-2.84,Arizona,0.07,52.8,,
2006-12,-3.10,Arizona,0.37,41.8,,
2007-01,-3.03,Arizona,0.79,39.0,,
2007-02,-3.24,Arizona,0.56,46.7,,
2007-03,-3.50,Arizona,0.83,54.5,,
2007-04,-4.07,Arizona,0.24,59.3,,
2007-05,-4.48,Arizona,0.30,68.4,,
2007-06,-4.94,Arizona,0.12,77.3,,
2007-07,-4.21,Arizona,2.27,82.0,,
2007-08,-4.11,Arizona,1.87,80.5,,
2007-09,-3.95,Arizona,0.98,73.8,,
2007-10,-4.24,Arizona,0.15,62.4,,
2007-11,-4.29,Arizona,0.60,55.3,,
2007-12,-3.13,Arizona,2.28,39.9,,
2008-01,-2.08,Arizona,1.99,39.8,,
2008-02,-1.64,Arizona,1.19,45.0,,
2008-03,-2.10,Arizona,0.07,51.8,,
2008-04,-2.29,Arizona,0.02,58.0,,
2008-05,-1.63,Arizona,0.65,63.6,,
2008-06,-1.30,Arizona,0.15,77.3,,
2008-07,-0.74,Arizona,2.25,80.4,,
2008-08,-0.61,Arizona,2.31,79.3,,
2008-09,-1.10,Arizona,0.62,73.6,,
2008-10,-1.59,Arizona,0.28,62.9,,
2008-11,-1.58,Arizona,0.89,53.3,,
2008-12,-1.02,Arizona,1.89,42.4,,
2009-01,-1.42,Arizona,0.52,45.2,,
2009-02,-1.41,Arizona,1.02,46.6,,
2009-03,-1.98,Arizona,0.17,52.5,,
2009-04,-2.37,Arizona,0.29,57.0,,
2009-05,-2.44,Arizona,0.74,70.8,,
2009-06,-2.58,Arizona,0.34,73.0,,
2009-07,-3.11,Arizona,1.09,82.8,,
2009-08,-4.06,Arizona,0.66,79.7,,
2009-09,-4.17,Arizona,0.69,74.1,,
2009-10,-4.30,Arizona,0.15,59.4,,
2009-11,-4.56,Arizona,0.15,52.9,,
2009-12,0.06,Arizona,1.21,39.0,,
